Iteration   ManagementArea   Stand   ManageStie  FireRiskBeforeTreatment FireRiskAfterTreatment
   1    2   7264      3   0.00   0.00 
   1    2   6940      2   0.00   0.00 
   1    2   7307      3   0.00   0.00 
   1    2   7081      3   0.00   0.00 
   1    2   7451      3   0.00   0.00 
   1    2   7621      1   0.00   0.00 
   1    2   7214      7   0.00   0.00 
   1    2   7051      7   0.00   0.00 
   1    2   7263     14   0.00   0.00 
   1    2   6452      4   0.00   0.00 
   1    2   7366      6   0.00   0.00 
   1    2   6980      0   0.00   0.00 
   1    2   6808      2   0.00   0.00 
   1    2   7422      4   0.00   0.00 
   1    2   6585     13   0.00   0.00 
   1    2   6628     10   0.00   0.00 
   1    2   7450      2   0.00   0.00 
   1    2   6627      0   0.00   0.00 
   1    2   6851      9   0.00   0.00 
   1    2   7537     10   0.00   0.00 
   1    2   6979      1   0.00   0.00 
   1    2   7080      1   0.00   0.00 
   1    2   7605      3   0.00   0.00 
   1    2   6756     17   0.00   0.00 
   1    2   7423      3   0.00   0.00 
   1    2   7165      7   0.00   0.00 
   1    2   6398      8   0.00   0.00 
