eventType	description	decade	managementArea	sitesCut	sumAgesCut	whiteoak	ShortPine	Blackoak	PostOak	ScarletOak	RedCedar	northernRO	MockHick	SugarMaple	redmaple	Blackcherry	PseudoSpp
3	Harvest Module	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Harvest Module	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	Harvest Module	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	Harvest Module	2	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	Harvest Module	2	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Harvest Module	2	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	Harvest Module	2	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	Harvest Module	2	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	Harvest Module	2	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	Harvest Module	2	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	Harvest Module	2	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	Harvest Module	2	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	Harvest Module	2	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	Harvest Module	2	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	Harvest Module	2	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	Harvest Module	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Harvest Module	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	Harvest Module	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	Harvest Module	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	Harvest Module	4	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	Harvest Module	4	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	Harvest Module	4	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	Harvest Module	4	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	Harvest Module	4	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	Harvest Module	4	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	Harvest Module	4	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	Harvest Module	4	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	Harvest Module	4	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	Harvest Module	4	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	Harvest Module	4	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
