decade	managementArea	stand	numSitesHarvested
2	3	432	1
2	3	471	1
2	3	658	3
2	3	852	6
2	3	945	2
2	97	2398	1
2	97	2823	4
2	97	2824	1
2	97	2980	1
2	97	3515	1
2	97	4087	2
2	7	5323	1
2	7	5542	1
2	7	5543	1
2	79	5787	6
2	79	5842	5
2	79	6079	3
2	79	6235	2
2	7	6254	9
2	7	6454	1
2	89	7223	11
2	13	7317	1
2	89	7544	2
2	89	7563	4
2	119	7651	1
2	119	7678	2
2	119	7839	2
2	119	8013	2
2	19	8631	1
2	19	8649	3
2	19	8650	3
2	19	8700	4
2	19	8708	9
2	30	8784	10
2	30	8802	12
2	19	8819	1
2	31	9274	2
2	31	9275	9
2	31	9458	1
4	84	729	5
4	84	821	1
4	84	843	1
4	84	868	3
4	84	934	1
4	110	1918	5
4	90	2387	2
4	110	2984	1
4	1	3740	7
4	61	3876	4
4	1	3892	1
4	61	3922	1
4	61	4022	17
4	61	4268	2
4	61	4305	1
4	1	4567	7
4	102	4572	4
4	1	4773	1
4	38	4842	8
4	1	4882	2
4	38	4976	13
4	38	5037	5
4	70	5136	1
4	38	5224	2
4	38	5331	2
4	38	5332	1
4	70	5451	1
4	1	5483	1
4	102	5487	1
4	38	5562	2
4	70	5630	3
4	117	6018	7
4	117	6073	3
4	1	6089	2
4	117	6119	4
4	1	6141	1
4	1	6145	1
4	1	6147	1
4	1	6148	5
4	116	6209	3
4	117	6282	1
4	1	6306	1
4	1	6346	7
4	116	6369	1
4	9	6458	2
4	9	6499	1
4	116	6504	5
4	1	6540	1
4	9	6550	15
4	1	6668	2
4	117	6783	6
4	1	6896	2
4	117	6925	5
4	117	6927	2
4	9	6948	4
4	9	6986	14
4	117	7002	1
4	9	7123	1
4	117	7196	6
4	1	7211	1
4	117	7705	7
4	17	8105	11
4	17	8106	1
4	17	8154	5
4	17	8197	1
4	17	8198	9
4	17	8210	1
4	26	9053	8
4	26	9080	1
4	26	9181	1
4	27	9208	12
4	26	9235	14
4	26	9364	2
4	26	9365	2
4	26	9394	5
4	26	9463	1
4	26	9467	1
4	26	9475	1
